comment,user_id,user_name,user_level,user_verify
哈哈哈哈哈哈哈哈哈哈,34775089,神地弥合,5,-1
我的心是冰冰的,334516392,御坂z0001,4,-1
咋感觉冰冰的后期跟饼叔的百万后期是一个嘞,214601307,神精病阿切,5,-1
你来啦[呆],270749612,大酱胖头鱼,5,-1
叔来了[呆],481998030,饼侄儿,3,-1
回复 @地表最强小公举吹 :群号多少带我一起恰烂钱[doge][doge][doge],158618994,骑着二哈的二胖,5,-1
[doge][doge],415456896,枇杷摘了,4,-1
老婆我来了,12561162,彤宝的老婆,5,-1
封面做得也很吸引人,242590117,qwe100505,3,-1
冰冰姐,434397043,世间简花,4,-1
回复 @地表最强小公举吹 :不至于，至少不应该。,12071179,浅唱丶Monna,5,-1
捞饼叔[呆],1332598,VoidSword,5,-1
回复 @吃花椒的喵酱 :我看错了了吗？一小时涨粉20万！,85687336,与签名,5,-1
饼饼,394289953,34042472724_bili,4,-1
冰冰饼饼[呆],13019037,武松拳打白骨精,5,-1
饼饼,6412401,小豆豆酱酱,5,-1
"回复 @地表最强小公举吹 :好家伙,食贫道狂喜.[呆][笑哭][打call][OK][吃瓜][滑稽]",40173416,科达娜丶邪歌,5,-1
冬天到了，我的心是饼饼的[呆][呆][呆][呆][呆][呆],18430493,我執爛漫,5,-1
为啥感觉是叔的团队做的,7625311,Misssss小C,5,-1
up🐷觉得很赞,102578176,LD董,5,-1
饼叔好[呆],266640981,黑光点,4,-1
饼叔，回头 ，冰冰请你吃饭,34993419,大理天行健达平安健康,4,-1
[呆][呆],149561597,康娜丶丶酱,4,-1
回复 @吃花椒的喵酱 :lao p,454033435,坐看繁星点缀,3,-1
叔呀，冰冰没关注你[吃瓜],388861325,恒升居士,5,-1
快乐上岸！,472560297,倪薄荷,4,-1
